,中文,English
24388,志,Zhi
24389,更棒,Even better
24390,客机,airliner
24391,资历,Qualifications
24392,苹果派,Apple Pie
24393,受理,Acceptance
24394,仰慕者,Admirer
24395,內褲,Underwear
24396,花点,Flower Point
24397,传记,biography
24398,死里逃生,Escape
24399,天生一对,A match made in heaven
24400,小维,Xiaowei
24401,全押,All-in
24402,冬月,Winter Moon
24403,上流,Upper class
24404,改过,Repent
24405,振奋,Excitement
24406,丽西,Lissie
24407,谈妥,Negotiated
24408,妾,concubine
24409,事实如此,This is the truth
24410,异想天开,Fantastic
24411,争端,dispute
24412,来付,Come and pay
24413,艾利斯,Ellis
24414,红发,Redhead
24415,沟,ditch
24416,娄,Lou
24417,而行,And walk
24418,雷公,Thunder God
24419,有所作为,Making a Difference
24420,生化武器,Biological weapons
24421,疙瘩,pimple
24422,第二轮,Round 2
24423,兰妮,Lanny
24424,没人管,No one cares
24425,好的开始,A good start
24426,鄉村,Countryside
24427,趕上,Catch up
24428,不称职,Incompetence
24429,產品,product
24430,獲勝,Win
24431,杰拉尔,Gerard
24432,哪一点,Which point
24433,玛格丽塔,Margarita
24434,郁金香,tulip
24435,一时冲动,Impulsive
24436,得通,Get through
24437,少有,Rare
24438,盖上,Cover
24439,樸,Simple
24440,埃利,Eli
24441,沙利文,Sullivan
24442,索達,Soda
24443,不试,Don't try
24444,拉西,Lacy
24445,満,満
24446,輕易,Easy
24447,安全区,Safe Zone
24448,效命,Serve
24449,素食者,Vegetarian
24450,相機,Camera
24451,梦幻般,Dreamy
24452,梅朵,Meadow
24453,臟,Dirty
24454,剛,Just
24455,唯独,Only
24456,萨克拉门托,Sacramento
24457,氰化物,Cyanide
24458,宣傳,Promotion
24459,都城,capital
24460,经文,Scripture
24461,急诊,Emergency
24462,定时,timing
24463,寇克,Kirk
24464,阿力,Ali
24465,菈,La
24466,有生以来,In my lifetime
24467,租车,Car Rental
24468,小倩,Xiaoqian
24469,水沟,Ditch
24470,嘲讽,ridicule
24471,受折磨,Tortured
24472,皮疹,rash
24473,见死不救,Watch someone die without helping
24474,碰碰运气,Try your luck
24475,泰坦尼克号,Titanic
24476,姿勢,posture
24477,污水,Sewage
24478,钟表,Clocks
24479,详尽,detailed
24480,哪種,Which
24481,餐館,Restaurants
24482,劈开,Split
24483,提過,Mentioned
24484,最要,Most important
24485,食人魔,Ogre
24486,戮,kill
24487,五百块,Five hundred yuan
24488,克伦威尔,Cromwell
24489,呼吸器,Respirator
24490,改建,Renovation
24491,议案,motion
24492,安德鲁斯,Andrews
24493,夺得,Won
24494,敲门声,Knock on the door
24495,第二次世界大战,Second World War
24496,欧拉,Euler
24497,欺凌,Bullying
24498,好惨,So miserable
24499,差得远,Far from it
24500,大西洋城,Atlantic City
24501,随之而来,What follows
24502,三文治,Sandwich
24503,出嫁,Getting married
24504,诸如,Such as
24505,面包屑,Breadcrumbs
24506,基礎,Basics
24507,张牌,Cards
24508,铁道,railway
24509,辛勤工作,Hard work
24510,詩人,Poet
24511,怂恿,Instigate
24512,联姻,Marriage
24513,嚴格,Strict
24514,逆,inverse
24515,梳洗,Freshen up
24516,灵异,Supernatural
24517,啵,Bo
24518,剧中,In the play
24519,擒,capture
24520,阿斯特,Astor
24521,免遭,Free from
24522,闇,dark
24523,緣,Fate
24524,奇才,Wizards
24525,没付,Not paid
24526,美梦成真,A dream come true
24527,咖啡机,Coffee machine
24528,九点半,9:30
24529,下場,Ending
24530,大礼,Big Gift
24531,耐,Resistance
24532,别死,Don't die
24533,阿衡,Ah Heng
24534,覂,See
24535,啰唆,Talkative
24536,远距离,Long distance
24537,投放,Delivery
24538,艾力,Ali
24539,外行,layman
24540,空旷,open
24541,福勒,Fowler
24542,轮盘,Roulette
24543,不容许,Not allowed
24544,里约热内卢,Rio de Janeiro
24545,健谈,Talkative
24546,嗦,Words
24547,境况,situation
24548,玛莉亚,Maria
24549,一炮,One shot
24550,善后,Aftermath
24551,血偿,Blood payment
24552,翻新,Refurbishment
24553,七千,Seven thousand
24554,身着,Wearing
24555,多处,Many places
24556,任何事物,Anything
24557,小艇,Dinghy
24558,报废,scrapped
24559,朦胧,hazy
24560,感觉不好,Feeling bad
24561,恢复原状,Restoration
24562,先驱,pioneer
24563,左派,Left
24564,夜视,Night Vision
24565,烤鸡,roast chicken
24566,住客,Guests
24567,凝聚,Cohesion
24568,蜚女,Flying Girl
24569,感伤,Sentimental
24570,乱伦,incest
24571,舍尔,Scheer
24572,西摩,Seymour
24573,军事行动,Military Operations
24574,贞洁,chastity
24575,普林斯,Prince
24576,乙,Second
24577,短短的,Short
24578,无政府主义,Anarchism
24579,回头路,Turning back
24580,大英帝国,british empire
24581,转而,Instead
24582,别光,Don't light
24583,废料,scrap
24584,玻璃杯,glass
24585,那门,That door
24586,挺快,Pretty fast
24587,這叫,This is called
24588,马夫,groom
24589,缅怀,In Memory of
24590,被劫持,Hijacked
24591,眒,璒
24592,圣诞夜,Christmas Eve
24593,户头,Account
24594,还开,Still open
24595,喬丹,Jordan
24596,追上去,Catch up
24597,减慢,Slow down
24598,想试,Want to try
24599,不为,Not for
24600,从头再来,Start over
24601,避孕药,Contraceptive pills
24602,触碰,Touch
24603,徹,thorough
24604,动弹,move
24605,直覺,Intuition
24606,溝通,communication
24607,我弹,I play
24608,团圆,reunion
24609,开着车,Driving
24610,深表,Deep
24611,遮,cover
24612,楚,Chu
24613,飞向,Fly to
24614,优惠券,Coupons
24615,找上门来,Come to your door
24616,老派,Old School
24617,钳,clamp
24618,叹,sigh
24619,挥之不去,Lingering
24620,兰茨,Lanz
24621,親密,Intimacy
24622,律政,Law
24623,混得,Mixed
24624,阿东,Adong
24625,紫外线,UV rays
24626,酒窝,dimple
24627,冷笑,sneer
24628,嘴闭,Mouth closed
24629,排查,Troubleshooting
24630,跳到,Jump to
24631,我連,I even
24632,毫無,
24633,久仰,Long admired
24634,不太对,Not quite right
24635,欢庆,Celebrate
24636,上位,superior
24637,老巫婆,Old Witch
24638,螖,cricket
24639,紀錄,Records
24640,没良心,ungrateful
24641,塞进去,Tuck it in
24642,各人,Everyone
24643,堪称,Can be called
24644,男妓,Male prostitute
24645,欢心,Delight
24646,娛樂,entertainment
24647,毫发无损,Unscathed
24648,青椒,Green pepper
24649,善解人意,Be considerate
24650,无懈可击,Impeccable
24651,第一班,First Class
24652,同父异母,Half-sister
24653,烧酒,Soju
24654,摄入,Ingestion
24655,行窃,steal
24656,巡,patrol
24657,五金店,Hardware Store
24658,马先生,Mr. Ma
24659,取得胜利,Achieving victory
24660,提尔,Tyre
24661,琴科,Chenko
24662,海邊,Seaside
24663,玩伴,playmate
24664,您们,You
24665,那匹,That horse
24666,放上,Put
24667,三星期,Three weeks
24668,五十块,Fifty dollars
24669,梦想家,dreamer
24670,拉拉队,Cheerleaders
24671,草图,sketch
24672,度日,Spend the day
24673,小毛,Xiaomao
24674,转个,Turn
24675,义工,Volunteer
24676,拷打,torture
24677,荒原,wilderness
24678,火烈鸟,Flamingo
24679,粘土,clay
24680,稳定下来,Stabilize
24681,你件,Your
24682,染色体,chromosome
24683,古龙水,Cologne
24684,出柜,to come out of the closet
24685,欢愉,Joy
24686,充裕,Abundance
24687,迦勒,Caleb
24688,受孕,Conception
24689,半小時,Half an hour
24690,两台,Two
24691,我收,I receive
24692,动粗,Violence
24693,街舞,Street Dance
24694,质询,Questions
24695,出炉,Release
24696,忘怀,forget
24697,殿堂,Palace
24698,显灵,Apparition
24699,百货,Department Store
24700,飞跃,leap
24701,衙门,yamen
24702,和保罗,and Paul
24703,卖点,Selling Points
24704,卸货,discharge
24705,渡轮,Ferry
24706,鹰眼,Hawkeye
24707,救命恩人,Lifesaver
24708,华人,Chinese
24709,份额,Share
24710,小矮人,Dwarf
24711,賜,Gift
24712,友誼,Friendship
24713,瓦西,Vasily
24714,恋,love
24715,肥婆,Fat Woman
24716,哈德逊,Hudson
24717,而現,Now
24718,缆绳,Cable
24719,韦瑟山,Mount Weather
24720,中来,Zhonglai
24721,神衣,God's Cloth
24722,而出,Out
24723,印地安,Indian
24724,提摩西,Timothy
24725,厄普,Earp
24726,利物浦,Liverpool
24727,抗衡,contend
24728,练功,Exercise
24729,认命,Accept your fate
24730,教诲,Teachings
24731,接電話,Answer the phone
24732,夫子,Master
24733,简陋,Simple
24734,科幻小说,Science fiction
24735,凌乱,Messy
24736,領袖,Leader
24737,賠,Compensation
24738,一眨眼,In the blink of an eye
24739,天文学,astronomy
24740,两英里,Two Miles
24741,惨死,Tragic Death
24742,平局,draw
24743,德纳,Dana
24744,排行榜,Rankings
24745,击出,Hit
24746,咕,Goo
24747,鸡奸,Sodomy
24748,這算,This is
24749,卡帕,Kappa
24750,金屬,Metal
24751,如意,As one wishes
24752,新闻记者,Journalist
24753,装弹,Reloading
24754,祖國,Motherland
24755,咒骂,curse
24756,申报,declare
24757,存档,Archive
24758,神经兮兮,Nervous
24759,马汀,Martin
24760,阿珍,Azhen
24761,正为,Zhengwei
24762,陈沸,Chen Fei
24763,他娘,His mother
24764,切斷,Cut
24765,昆汀,Quentin
24766,科斯塔,Costa
24767,这匹马,This horse
24768,力场,Force Field
24769,办得,Can do
24770,出赛,Play
24771,二年,Year 2
24772,点整,Point
24773,显微镜,microscope
24774,转变成,Transformed into
24775,現象,Phenomenon
24776,张卡,Cards
24777,熬过去,Get through it
24778,自古,since ancient times
24779,小角色,Minor Role
24780,吸毒者,Drug addict
24781,价码,Price
24782,探寻,Explore
24783,伙食,Meals
24784,相近,similar
24785,胃里,Stomach
24786,不如意,Unsatisfactory
24787,克鲁斯,Cruise
24788,喧嚣,Hustle
24789,洗发水,Shampoo
24790,君王,king
24791,沉沦,Fall
24792,肉丸,meatball
24793,烟味,Smoke
24794,苦力,coolie
24795,廣播,Broadcast
24796,捂住,Cover
24797,素质,quality
24798,地质,Geology
24799,蝦,Shrimp
24800,修养,training
24801,切磋,Discuss
24802,坦然,calm
24803,乔巴,Chopper
24804,脚跟,heel
24805,知足,Be Content
24806,空难,Air crash
24807,吃喝,Eating and drinking
24808,隐约,faint
24809,感到恐惧,Feeling Fear
24810,挑战赛,Challenge
24811,极乐,Bliss
24812,脚尖,Toes
24813,草稿,draft
24814,鸟嘴,beak
24815,那伙,that gang
24816,腰部,waist
24817,那枪,The Gun
24818,上個,Previous
24819,脸书,Facebook
24820,采摘,pick
24821,弗格森,Ferguson
24822,吼叫,Roar
24823,同年,same year
24824,风云,Storm
24825,疯话,Crazy Talk
24826,官邸,official residence
24827,艾滋,AIDS
24828,藏起,Hide
24829,希腊语,Greek
24830,多姆,Dom
24831,賠償,Compensation
24832,调职,Transfer
24833,再现,Reproduction
24834,左门,Left door
24835,两秒,Two seconds
24836,這將,This will
24837,核桃,Walnut
24838,佩特拉,Petra
24839,报销,to reimburse
24840,抽根烟,Smoke a cigarette
24841,时日,Date
24842,手软,Soft Hands
24843,掙扎,Struggle
24844,福尔曼,Foreman
24845,吉祥,auspicious
24846,维达尔,Vidal
24847,英格,Inge
24848,我個,I
24849,僅翻譯,Translation only
24850,攝影機,Camera
24851,公用电话,Public Telephone
24852,交集,Intersection
24853,演变成,Evolved into
24854,凯奇,Cage
24855,过山车,roller coaster
24856,玩火,Playing with Fire
24857,賈,Jia
24858,汲取,Draw
24859,两腿,Legs
24860,盡頭,End
24861,部族,Tribe
24862,复仇者,the Avengers
24863,焊接,welding
24864,雷先生,Mr. Lei
24865,成千,Thousands
24866,拖下水,Drag into the water
24867,发生变化,Changes
24868,马里兰州,Maryland
24869,網站,Website
24870,外甥女,Niece
24871,合作愉快,Happy cooperation
24872,本論壇,This forum
24873,罪证,Evidence
24874,要犯,wanted criminal
24875,甲烷,Methane
24876,嗡嗡声,Buzz
24877,胶,glue
24878,還用,Also use
24879,动动,Move
24880,牢骚,Complaint
24881,所学,learned
24882,多虧,Many Disadvantages
24883,住进,Live in
24884,所欲,What you want
24885,扣除,deduct
24886,照张,Photo
24887,回首,look back
24888,有股,Have shares
24889,好心人,Good Samaritans
24890,帕斯卡,Pascal
24891,卡恩,Kahn
24892,盖文,Gavin
24893,碇,anchor
24894,宠,Pet
24895,渣滓,dross
24896,音乐厅,Concert Hall
24897,度假村,Resort
24898,青木,Aoki
24899,纞,南
24900,瓦德,Ward
24901,臭丫头,Stinky girl
24902,阳光明媚,Sunny
24903,几名,Several
24904,歪歪,Crooked
24905,并肩,side by side
24906,字面,literal
24907,乒乓球,table tennis
24908,重新启动,Restart
24909,零花钱,Pocket Money
24910,高等,higher
24911,太胖,Too fat
24912,婆,Mother-in-law
24913,读出来,Read it out
24914,途徑,Way
24915,循规蹈矩,Follow the rules
24916,侦察机,reconnaissance aircraft
24917,合金,alloy
24918,嘍,嘍
24919,雀斑,freckle
24920,天衣无缝,Seamless
24921,兴建,build
24922,神奈,Kanna
24923,背负着,Carrying
24924,窍门,Tips
24925,運作,Operation
24926,无足轻重,Insignificant
24927,能成,Can be accomplished
24928,上阵,Go into battle
24929,理睬,Pay attention
24930,摩纳哥,Monaco
24931,拼了命,Fighting for life
24932,汪汪,Woof woof
24933,柱,column
24934,电影吧,Movie Bar
24935,我身,My body
24936,眼界,Horizon
24937,丽丝,Liz
24938,匡拒,Kuang Ju
24939,里卡多,Ricardo
24940,和平共处,Peaceful coexistence
24941,別去,Don't go
24942,原有,original
24943,地域,area
24944,見識,Knowledge
24945,旧情,Old love
24946,墙纸,wallpaper
24947,买件,Buy
24948,秋山,Akiyama
24949,威洛,Willow
24950,翔,soar
24951,市内,In the city
24952,衵,Oops
24953,情谊,Friendship
24954,精湛,Superb
24955,先杀,Kill first
24956,半价,Half Price
24957,第十二,twelfth
24958,玛莉安,Marian
24959,冷清,Deserted
24960,凌,Ling
24961,一届,One
24962,烂货,Bad stuff
24963,勛,Xun
24964,听听看,Listen
24965,沒關系,It doesn't matter
24966,用不上,Not useful
24967,懷,Pregnant
24968,关节炎,arthritis
24969,要强,Be strong
24970,乔治亚州,Georgia
24971,露台,Terrace
24972,狸猫,Civet cat
24973,视作,Considered
24974,誕生,birth
24975,厚厚的,Thick
24976,亲口说,Say it yourself
24977,倔,stubborn
24978,勤劳,Diligent
24979,當然會,Of course
24980,有劳,Labor
24981,准将,brigadier
24982,细腻,exquisite
24983,紧跟,Follow
24984,一斤,One pound
24985,性别歧视,Gender discrimination
24986,配给,rationing
24987,坚实,solid
24988,战况,Battle
24989,崔佛,Trevor
24990,作个,Make a
24991,贫血,anemia
24992,唄,唄
24993,巫女,miko
24994,别针,pin
24995,脄,Amount
24996,犁,plow
24997,告一段落,End of story
24998,功效,effect
24999,盗用,Misappropriation
25000,更衣,Dressing
25001,經是,The Sutra is
25002,现成,Ready-made
25003,开通,Activate
25004,枪管,barrel
25005,趕到,Get there
25006,自動,Automatic
25007,这具,This
25008,狡辩,quibble
25009,饮用,drink
25010,紋,Texture
25011,支持率,Support
25012,受尽,Suffer
25013,精髓,Essence
25014,面包师,Baker
25015,息,interest
25016,爱荷华州,Iowa
25017,当务之急,The priority
25018,紧绷,Tight
25019,这画,This painting
25020,左轮手枪,Revolver
25021,這幫,This help
25022,回應,Response
25023,属性,property
25024,猜疑,Suspicion
25025,放箭,Release the arrow
25026,開什麼,What to open
25027,俯卧撑,push-up
25028,不保,Not guaranteed
25029,不由自主,involuntarily
25030,投注,Betting
25031,蒸气,Steam
25032,行礼,salute
25033,坠,fall
25034,何止,More than
25035,七次,Seven times
25036,身不由己,No choice
25037,弗蘭克,Frank
25038,动手动脚,Hands and feet
25039,新教徒,Protestants
25040,府上,Residence
25041,佣兵,Mercenaries
25042,拜拉席,Baratheon
25043,辅佐,Assist
25044,想給,Want to give
25045,探子,The Spy
25046,路易斯安那,Louisiana
25047,重庆,Chongqing
25048,涙,涙
25049,段子,Jokes
25050,永濑,Nagase
25051,我闻,I smell
25052,简妮,Jenny
25053,机密文件,Confidential Documents
25054,莫琳,Maureen
25055,大河,big river
25056,旷野,Wilderness
25057,吉娃娃,Chihuahua
25058,中原,Central Plains
25059,啧,Tsk
25060,别谈,Don't talk
25061,创造性,creativity
25062,一千个,One thousand
25063,自打,Since
25064,布纳特,Bnut
25065,千万美元,Ten million US dollars
25066,深吸,Take a deep breath
25067,局限,Limitations
25068,惨不忍睹,Horrible
25069,親吻,Kiss
25070,開放,Open
25071,上場,come on stage
25072,泼妇,shrew
25073,谦逊,humble
25074,棚子,shed
25075,二代,Second Generation
25076,一切办法,All methods
25077,浸泡,soak
25078,細胞,Cells
25079,診斷,Diagnosis
25080,风车,windmill
25081,瓦格纳,Wagner
25082,标示,Marking
25083,大呼小叫,Shouting
25084,毙命,Killed
25085,终老,End of life
25086,越多越好,The more the better
25087,海带,kelp
25088,自如,freely
25089,不得好死,Die a bad death
25090,衰弱,weak
25091,二者,both
25092,硕士,master
25093,雷克,Lake
25094,火势,Fire
25095,散会,Adjournment
25096,该国,The country
25097,魏伪,Wei False
25098,拉瓦,Rava
25099,守门员,goalkeeper
25100,不败,Undefeated
25101,先发制人,Preemptive strike
25102,松子,Pine Nuts
25103,几十万,Hundreds of thousands
25104,优异,Excellent
25105,拳赛,Boxing
25106,紧要,critical
25107,会选,Will choose
25108,羊水,Amniotic fluid
25109,号召,Call
25110,劳动力,labor force
25111,欣喜,happy
25112,兩名,Two
25113,现时,current
25114,收敛,convergence
25115,炉,furnace
25116,先來,Come first
25117,更少,less
25118,爆炸物,explosive
25119,伊特,It
25120,来烦,Come to bother
25121,德比,Derby
25122,进取,Enterprising
25123,坎特,Kante
25124,甲子,Jiazi
25125,独子,Only son
25126,砲,gun
25127,端庄,dignified
25128,现行,in force
25129,沒去,Didn't go
25130,背叛者,traitor
25131,作祟,cause trouble
25132,死伤,Casualties
25133,水坑,Puddle
25134,我己,Myself
25135,违约,Breach of Contract
25136,闸门,Gate
25137,淤青,Bruising
25138,毒打,Beating
25139,灿,Can
25140,摇头丸,Ecstasy
25141,永世,forever
25142,掴,slap
25143,背对着,Back to
25144,龙崎,Ryuzaki
25145,一查,Check
25146,三分之二,Two-thirds
25147,矿场,Mining
25148,人间蒸发,Evaporated
25149,车灯,Headlights
25150,很受,Very popular
25151,尖端,Cutting Edge
25152,渥,O
25153,李小姐,Ms. Li
25154,想带,Want to bring
25155,听命,Obey
25156,掩藏,hide
25157,声波,Sound Wave
25158,著火,On Fire
25159,琛,Chen
25160,不解,Puzzled
25161,路易莎,Louisa
25162,三流,Third-rate
25163,蓝恩,Lan
25164,拉走,Pull away
25165,禱告,Prayer
25166,雙眼,Eyes
25167,小美人,Little Beauty
25168,萍,Ping
25169,那批,That batch
25170,丁哥,Dingo
25171,真系,True
25172,摇头,Shake your head
25173,数个,Several
25174,正合适,Just right
25175,可谓,It can be said
25176,六人,Six people
25177,利索,neat
25178,格特,Gert
25179,后遗症,Sequelae
25180,名副其实,Well-deserved
25181,或暗,or dark
25182,草泥马,Alpaca
25183,全死,All dead
25184,違反,Violation
25185,化合物,Compound
25186,數學,mathematics
25187,整死,Dead
25188,小径,trails
25189,庸俗,vulgar
25190,遇,Encounter
25191,不胜,Unbeatable
25192,危在旦夕,Danger
25193,灭火器,Fire extinguisher
25194,闲事,Idleness
25195,渴死,Death by thirst
25196,发明家,inventor
25197,奥康纳,O'Connor
25198,离世,Death
25199,划掉,Cross out
25200,古罗马,Ancient Rome
25201,八天,Eight days
25202,奥吉,Augie
25203,格调,style
25204,阿罗,Aro
25205,自以,Since
25206,扪心自问,Ask Yourself
25207,没看,Didn't watch
25208,化作,Transform
25209,洞房,Bridal Chamber
25210,顯得,Appear
25211,克罗斯,Cross
25212,洋,foreign
25213,停工,Work stoppage
25214,迪尔,Diehl
25215,难耐,Unbearable
25216,减缓,Mitigation
25217,淌,drip
25218,橡木,oak
25219,欠债,Debt
25220,满载,Fully loaded
25221,干洗店,Dry Cleaners
25222,消退,Receding
25223,刚出生,Newly born
25224,預感,Premonition
25225,圣约翰,St. John
25226,百分之十,10%
25227,每一秒,Every second
25228,红十字会,Red Cross
25229,公会,guild
25230,凸轮,Cam
25231,深厚,deep
25232,狠心,heartless
25233,承载,Loading
25234,蠢才,Stupid
25235,见习,Trainee
25236,保持平衡,Keeping Balance
25237,总体,overall
25238,执行命令,Execute Command
25239,小海,Xiaohai
25240,笑死人,LOL
25241,邱,Qiu
25242,美化,beautify
25243,四面八方,in all directions
25244,空壳,Empty Shell
25245,赢钱,Winning Money
25246,特遣队,Task Force
25247,內疚,Guilt
25248,昵,Nickname
25249,法律顾问,Legal Advisor
25250,企業,Enterprise
25251,图拉,Tula
25252,特伦斯,Terrence
25253,吃藥,Take medicine
25254,估价,Valuation
25255,果园,orchard
25256,僵局,deadlock
25257,爆發,Outbreak
25258,弥漫,Diffuse
25259,婚姻生活,Married life
25260,欧娜,Oona
25261,偷溜,sneak
25262,提高警惕,Be vigilant
25263,逗你玩,Tease you
25264,棒球队,Baseball Team
25265,我为,I am
25266,没落,decline
25267,八百万,8 million
25268,世纪末,end of the century
25269,唯一一,the only one
25270,歐,Europe
25271,迈向,Towards
25272,东山再起,Comeback
25273,早到,Arrive Early
25274,班纳,Banner
25275,那具,That
25276,況,Situation
25277,织,Weaving
25278,悄悄话,Private Message
25279,惩戒,discipline
25280,保守党,conservative party
25281,那狗,The dog
25282,一并,Together
25283,先上去,Go up first
25284,会害,Will harm
25285,惊叹,Marvel
25286,爬升,Climb
25287,一男一女,One man and one woman
25288,臭男人,Stinky man
25289,阿黛尔,Adele
25290,用语,term
25291,底朝天,Upside down
25292,分隔,Separation
25293,记事,Notes
25294,单亲,Single Parent
25295,调出,Call Out
25296,伦巴,Rumba
25297,洛佩兹,Lopez
25298,萦绕,linger
25299,活死人,The Living Dead
25300,干系,Relationship
25301,搞坏,Break
25302,绝食,Hunger strike
25303,拚,Fight
25304,落叶,Fallen Leaves
25305,威尼,Winnie
25306,碼,Code
25307,剧作家,playwright
25308,傳說,Legend
25309,双峰,Twin Peaks
25310,撇开,Aside
25311,卜,predict
25312,麻疹,measles
25313,米卡,Mika
25314,別吵,Stop making noise
25315,卖身,Selling oneself
25316,百度,Baidu
25317,真是假,True or false
25318,脱颖而出,stand out
25319,赢回,Win Back
25320,国歌,National anthem
25321,缠绕,Entanglement
25322,拉丁美洲,Latin America
25323,养家糊口,Supporting a Family
25324,库特,Cooter
25325,回路,loop
25326,必定会,Will definitely
25327,臸,大
25328,史酷比,Scooby-Doo
25329,情结,Complex
25330,萨莎,Sasha
25331,历险,Adventure
25332,杂物,Sundries
25333,开诚布公,Be open and honest
25334,撒野,act wildly
25335,榨干,Squeeze
25336,粒,grain
25337,脊髓,spinal cord
25338,車禍,Car Accident
25339,幽闭,Confinement
25340,玩球,Playing ball
25341,巨人队,Giants
25342,四十五,Chapter 45
25343,影业,Film Industry
25344,取个,Take
25345,线人,Informer
25346,肯斯,Kens
25347,火气,anger
25348,痛哭,Cry
25349,多来,More
25350,偶遇,Encounter
25351,枯,Dry
25352,新月,new moon
25353,踢踏舞,tap dance
25354,不利于,Not conducive to
25355,落脚,Settle down
25356,太惨,Too miserable
25357,問你,Ask you
25358,徙,Migration
25359,總算,Finally
25360,混入,mix in
25361,何況,What's more
25362,画展,Art Exhibition
25363,武裝,Armed
25364,麦芽,malt
25365,重病,Serious illness
25366,顺带,By the way
25367,农田,farmland
25368,發表,Publish
25369,鸳鸯,mandarin duck
25370,控制台,Console
25371,訪問,Visit
25372,音色,timbre
25373,烦心事,Troubles
25374,得当,appropriate
25375,主動,initiative
25376,砍头,Beheading
25377,黏在,Stick to
25378,愈发,More
25379,山雀,tit
25380,落花流水,Falling Flowers and Flowing Water
25381,深處,Depths
25382,溫度,temperature
25383,鸡汤,chicken soup
25384,蔣,Jiang
25385,尽职,Diligence
25386,捕鲸,whaling
25387,捶,hammer
25388,公敌,Public Enemy
25389,没死,Not dead
25390,自由主义,Liberalism
25391,胡搞,mess
25392,商船,Merchant Ships
25393,狱友,Cellmate
25394,麻省理工,Massachusetts Institute of Technology
25395,奉命行事,Follow orders
25396,绝种,Extinct
25397,普拉提,Pilates
25398,说不上来,Can't tell
25399,聿,Yu
25400,欲火焚身,Burning with desire
25401,一摸,One touch
25402,大牌,Big Brands
25403,录像机,video recorder
25404,這一個,This one
25405,污渍,Stains
25406,老挝,Laos
25407,莎朗,Sharon
25408,逞,show off
25409,黄鼠狼,weasel
25410,兰伯特,Lambert
25411,两条腿,Two Legs
25412,蔷薇,rose
25413,推掉,Pushed away
25414,洸,洴
25415,念念,Read
25416,逐漸,Gradually
25417,撤消,Undo
25418,浴盆,bathtub
25419,多过,More than
25420,闪光灯,flash
25421,奇蒂,Chitty
25422,我開,I open
25423,交談,Conversation
25424,阿勇,Ayong
25425,仇敌,Enemies
25426,陷于,Trapped
25427,无偿,Free
25428,欣喜若狂,ecstatic
25429,浮游生物,Plankton
25430,共产党员,Communist Party member
25431,海平面,sea ​​level
25432,拍照片,Take a photo
25433,我同,I
25434,大廳,Lobby
25435,本职工作,Main job
25436,壮丽,magnificent
25437,有情,Affectionate
25438,職員,staff
25439,怎讲,How to say
25440,压倒性,overwhelming
25441,叫法,Name
25442,优越,superior
25443,洗脸,Wash your face
25444,評價,Reviews
25445,夜夜,Night after night
25446,乔登,Jordan
25447,癖好,Hobbies
25448,撤掉,Remove
25449,杂货,groceries
25450,這了,Here it is
25451,青铜,bronze
25452,可真有,It's true
25453,不写,Do not write
25454,那话儿,That word
25455,磨损,Wear
25456,醇,alcohol
25457,主治,Indications
25458,卡萨布兰卡,Casablanca
25459,整形,Plastic surgery
25460,漠不关心,indifferent
25461,桥牌,Bridge
25462,时时刻刻,All the time
25463,茬,Stubble
25464,未免,Not necessarily
25465,紋身,Tattoo
25466,重播,Replay
25467,动画片,cartoon
25468,友人,friends
25469,最让人,The most
25470,丞相,Prime Minister
25471,不照,No
25472,绝世,Peerless
25473,堆积,accumulation
25474,二重,Double
25475,主权,sovereignty
25476,奥尼尔,O'Neal
25477,显示器,monitor
25478,全境,All Territory
25479,应征,Apply
25480,毫升,ml
25481,侧翼,flank
25482,弱點,Weaknesses
25483,阿纳,Ana
25484,维塔,Vita
25485,垄断,monopoly
25486,就职,Employment
25487,杰瑞米,Jeremy
25488,误以为,Mistakenly
25489,廢物,Waste
25490,你定,You decide
25491,这就是说,That is to say
25492,严格来说,Strictly speaking
25493,二等,Second Class
25494,乡村音乐,Country Music
25495,毛线,Yarn
25496,宗旨,purpose
25497,饶舌,Rap
25498,旧事,Old things
25499,大姑娘,Big Girl
25500,扶持,Support
25501,奥利维,Oliver
25502,共同体,community
25503,横行,Rampant
25504,要冲,To rush
25505,印第安纳,Indiana
25506,属下,Subordinates
25507,出航,set sail
25508,坏女孩,Bad Girl
25509,加纳,Ghana
25510,收拾残局,Picking up the pieces
25511,玛格达,Magda
25512,倒影,Reflection
25513,我頭,My head
25514,板块,Plate
25515,五位,Five
25516,憨,silly
25517,追问,Question
25518,罗德里格,Rodrigo
25519,葫芦,gourd
25520,孟加拉,Bengal
25521,阻塞,block
25522,大点声,Louder
25523,请容,Please allow
25524,半步,Half Step
25525,匪,bandit
25526,要员,Key Personnel
25527,萍琪,Pinkie
25528,露西亚,Lucia
25529,喃喃,Murmur
25530,上会,Meeting
25531,脑门,Forehead
25532,严重性,Severity
25533,自願,Voluntary
25534,考克,Cork
25535,骨气,backbone
25536,朵花,Flower
25537,丑事,scandal
25538,跑得快,Run fast
25539,搬运工,porter
25540,红线,Red Line
25541,俄國人,Russian
25542,来求,Come and ask
25543,古巴人,Cubans
25544,抗抑郁,Antidepressant
25545,粿,Kueh
25546,這時候,At this time
25547,屡,repeatedly
25548,展览会,exhibition
25549,就是指,It means
25550,越野车,Off-road vehicles
25551,嘀咕,Mutter
25552,緊緊,Tight
25553,别喊,Don't shout
