中文,English
安德鲁斯,Andrews
夺得,Won
敲门声,Knock on the door
第二次世界大战,Second World War
欧拉,Euler
欺凌,Bullying
好惨,So miserable
差得远,Far from it
大西洋城,Atlantic City
随之而来,What follows
三文治,Sandwich
出嫁,Getting married
诸如,Such as
面包屑,Breadcrumbs
基礎,Basics
张牌,Cards
铁道,railway
辛勤工作,Hard work
詩人,Poet
怂恿,Instigate
联姻,Marriage
嚴格,Strict
逆,inverse
梳洗,Freshen up
灵异,Supernatural
啵,Bo
剧中,In the play
擒,capture
阿斯特,Astor
免遭,Free from
闇,dark
緣,Fate
奇才,Wizards
没付,Not paid
美梦成真,A dream come true
咖啡机,Coffee machine
九点半,9:30
下場,Ending
大礼,Big Gift
耐,Resistance
别死,Don't die
阿衡,Ah Heng
覂,See
啰唆,Talkative
远距离,Long distance
投放,Delivery
艾力,Ali
外行,layman
空旷,open
福勒,Fowler
轮盘,Roulette
不容许,Not allowed
里约热内卢,Rio de Janeiro
健谈,Talkative
嗦,Words
境况,situation
玛莉亚,Maria
一炮,One shot
善后,Aftermath
血偿,Blood payment
翻新,Refurbishment
七千,Seven thousand
身着,Wearing
多处,Many places
任何事物,Anything
小艇,Dinghy
报废,scrapped
朦胧,hazy
感觉不好,Feeling bad
恢复原状,Restoration
先驱,pioneer
左派,Left
夜视,Night Vision
烤鸡,roast chicken
住客,Guests
凝聚,Cohesion
蜚女,Flying Girl
感伤,Sentimental
乱伦,incest
舍尔,Scheer
西摩,Seymour
军事行动,Military Operations
贞洁,chastity
普林斯,Prince
乙,Second
短短的,Short
无政府主义,Anarchism
回头路,Turning back
大英帝国,british empire
转而,Instead
别光,Don't light
废料,scrap
玻璃杯,glass
那门,That door
挺快,Pretty fast
這叫,This is called
马夫,groom
缅怀,In Memory of
被劫持,Hijacked
眒,璒
圣诞夜,Christmas Eve
户头,Account
还开,Still open
喬丹,Jordan
追上去,Catch up
减慢,Slow down
想试,Want to try
不为,Not for
从头再来,Start over
避孕药,Contraceptive pills
触碰,Touch
徹,thorough
动弹,move
直覺,Intuition
溝通,communication
我弹,I play
团圆,reunion
开着车,Driving
深表,Deep
遮,cover
楚,Chu
飞向,Fly to
优惠券,Coupons
找上门来,Come to your door
老派,Old School
钳,clamp
叹,sigh
挥之不去,Lingering
兰茨,Lanz
親密,Intimacy
律政,Law
混得,Mixed
阿东,Adong
紫外线,UV rays
酒窝,dimple
冷笑,sneer
嘴闭,Mouth closed
排查,Troubleshooting
跳到,Jump to
我連,I even
毫無,None
久仰,Long admired
不太对,Not quite right
欢庆,Celebrate
上位,superior
老巫婆,Old Witch
螖,cricket
紀錄,Records
没良心,ungrateful
塞进去,Tuck it in
各人,Everyone
堪称,Can be called
男妓,Male prostitute
欢心,Delight
娛樂,entertainment
毫发无损,Unscathed
青椒,Green pepper
善解人意,Be considerate
无懈可击,Impeccable
第一班,First Class
同父异母,Half-sister
烧酒,Soju
摄入,Ingestion
行窃,steal
巡,patrol
五金店,Hardware Store
马先生,Mr. Ma
取得胜利,Achieving victory
提尔,Tyre
琴科,Chenko
海邊,Seaside
玩伴,playmate
您们,You
那匹,That horse
放上,Put
三星期,Three weeks
五十块,Fifty dollars
梦想家,dreamer
拉拉队,Cheerleaders
草图,sketch
度日,Spend the day
小毛,Xiaomao
转个,Turn
义工,Volunteer
拷打,torture
荒原,wilderness
火烈鸟,Flamingo
粘土,clay
稳定下来,Stabilize
你件,Your
染色体,chromosome
古龙水,Cologne
出柜,to come out of the closet
欢愉,Joy
充裕,Abundance
迦勒,Caleb
受孕,Conception
半小時,Half an hour
两台,Two
我收,I receive
动粗,Violence
街舞,Street Dance
质询,Questions
出炉,Release
忘怀,forget
殿堂,Palace
显灵,Apparition
百货,Department Store
飞跃,leap
衙门,yamen
和保罗,and Paul
卖点,Selling Points
卸货,discharge
渡轮,Ferry
鹰眼,Hawkeye
救命恩人,Lifesaver
华人,Chinese
份额,Share
小矮人,Dwarf
賜,Gift
友誼,Friendship
瓦西,Vasily
恋,love
肥婆,Fat Woman
哈德逊,Hudson
而現,Now
缆绳,Cable
韦瑟山,Mount Weather
中来,Zhonglai
神衣,God's Cloth
而出,Out
印地安,Indian
提摩西,Timothy
厄普,Earp
利物浦,Liverpool
抗衡,contend
练功,Exercise
认命,Accept your fate
教诲,Teachings
接電話,Answer the phone
夫子,Master
简陋,Simple
科幻小说,Science fiction
凌乱,Messy
領袖,Leader
賠,Compensation
一眨眼,In the blink of an eye
天文学,astronomy
两英里,Two Miles
惨死,Tragic Death
平局,draw
德纳,Dana
排行榜,Rankings
击出,Hit
咕,Goo
鸡奸,Sodomy
這算,This is
卡帕,Kappa
金屬,Metal
如意,As one wishes
新闻记者,Journalist
装弹,Reloading
祖國,Motherland
咒骂,curse
申报,declare
存档,Archive
神经兮兮,Nervous
马汀,Martin
阿珍,Azhen
正为,Zhengwei
陈沸,Chen Fei
他娘,His mother
切斷,Cut
昆汀,Quentin
科斯塔,Costa
这匹马,This horse
力场,Force Field
办得,Can do
出赛,Play
二年,Year 2
点整,Point
显微镜,microscope
转变成,Transformed into
現象,Phenomenon
张卡,Cards
熬过去,Get through it
自古,since ancient times
小角色,Minor Role
吸毒者,Drug addict
价码,Price
探寻,Explore
伙食,Meals
相近,similar
胃里,Stomach
不如意,Unsatisfactory
克鲁斯,Cruise
喧嚣,Hustle
洗发水,Shampoo
君王,king
沉沦,Fall
肉丸,meatball
烟味,Smoke
苦力,coolie
廣播,Broadcast
捂住,Cover
素质,quality
地质,Geology
蝦,Shrimp
修养,training
切磋,Discuss
坦然,calm
乔巴,Chopper
脚跟,heel
知足,Be Content
空难,Air crash
吃喝,Eating and drinking
隐约,faint
感到恐惧,Feeling Fear
挑战赛,Challenge
极乐,Bliss
脚尖,Toes
草稿,draft
鸟嘴,beak
那伙,that gang
腰部,waist
那枪,The Gun
上個,Previous
脸书,Facebook
采摘,pick
弗格森,Ferguson
吼叫,Roar
同年,same year
风云,Storm
疯话,Crazy Talk
官邸,official residence
艾滋,AIDS
藏起,Hide
希腊语,Greek
多姆,Dom
賠償,Compensation
调职,Transfer
再现,Reproduction
左门,Left door
两秒,Two seconds
這將,This will
核桃,Walnut
佩特拉,Petra
报销,to reimburse
抽根烟,Smoke a cigarette
时日,Date
手软,Soft Hands
掙扎,Struggle
福尔曼,Foreman
吉祥,auspicious
维达尔,Vidal
英格,Inge
我個,I
僅翻譯,Translation only
攝影機,Camera
公用电话,Public Telephone
交集,Intersection
演变成,Evolved into
凯奇,Cage
过山车,roller coaster
玩火,Playing with Fire
賈,Jia
汲取,Draw
两腿,Legs
盡頭,End
部族,Tribe
复仇者,the Avengers
焊接,welding
雷先生,Mr. Lei
成千,Thousands
拖下水,Drag into the water
发生变化,Changes
马里兰州,Maryland
網站,Website
外甥女,Niece
合作愉快,Happy cooperation
本論壇,This forum
罪证,Evidence
要犯,wanted criminal
甲烷,Methane
嗡嗡声,Buzz
胶,glue
還用,Also use
动动,Move
牢骚,Complaint
所学,learned
多虧,Many Disadvantages
住进,Live in
所欲,What you want
扣除,deduct
照张,Photo
回首,look back
有股,Have shares
好心人,Good Samaritans
帕斯卡,Pascal
卡恩,Kahn
盖文,Gavin
碇,anchor
宠,Pet
渣滓,dross
音乐厅,Concert Hall
度假村,Resort
青木,Aoki
纞,南
瓦德,Ward
臭丫头,Stinky girl
阳光明媚,Sunny
几名,Several
歪歪,Crooked
并肩,side by side
字面,literal
乒乓球,table tennis
重新启动,Restart
零花钱,Pocket Money
高等,higher
太胖,Too fat
婆,Mother-in-law
读出来,Read it out
途徑,Way
循规蹈矩,Follow the rules
侦察机,reconnaissance aircraft
合金,alloy
嘍,嘍
雀斑,freckle
天衣无缝,Seamless
兴建,build
神奈,Kanna
背负着,Carrying
窍门,Tips
運作,Operation
无足轻重,Insignificant
能成,Can be accomplished
上阵,Go into battle
理睬,Pay attention
摩纳哥,Monaco
拼了命,Fighting for life
汪汪,Woof woof
柱,column
电影吧,Movie Bar
我身,My body
眼界,Horizon
丽丝,Liz
匡拒,Kuang Ju
里卡多,Ricardo
和平共处,Peaceful coexistence
別去,Don't go
原有,original
地域,area
見識,Knowledge
旧情,Old love
墙纸,wallpaper
买件,Buy
秋山,Akiyama
威洛,Willow
翔,soar
市内,In the city
衵,Oops
情谊,Friendship
精湛,Superb
先杀,Kill first
半价,Half Price
第十二,twelfth
玛莉安,Marian
冷清,Deserted
凌,Ling
一届,One
烂货,Bad stuff
勛,Xun
听听看,Listen
沒關系,It doesn't matter
用不上,Not useful
懷,Pregnant
关节炎,arthritis
要强,Be strong
乔治亚州,Georgia
露台,Terrace
狸猫,Civet cat
视作,Considered
誕生,birth
厚厚的,Thick
亲口说,Say it yourself
倔,stubborn
勤劳,Diligent
當然會,Of course
有劳,Labor
准将,brigadier
细腻,exquisite
紧跟,Follow
一斤,One pound
性别歧视,Gender discrimination
配给,rationing
坚实,solid
战况,Battle
崔佛,Trevor
作个,Make a
贫血,anemia
唄,唄
巫女,miko
别针,pin
脄,Amount
犁,plow
告一段落,End of story
功效,effect
盗用,Misappropriation
更衣,Dressing
經是,The Sutra is
现成,Ready-made
开通,Activate
枪管,barrel
趕到,Get there
自動,Automatic
这具,This
狡辩,quibble
饮用,drink
紋,Texture
支持率,Support
受尽,Suffer
精髓,Essence
面包师,Baker
息,interest
爱荷华州,Iowa
当务之急,The priority
紧绷,Tight
这画,This painting
左轮手枪,Revolver
這幫,This help
回應,Response
属性,property
猜疑,Suspicion
放箭,Release the arrow
開什麼,What to open
俯卧撑,push-up
不保,Not guaranteed
不由自主,involuntarily
投注,Betting
蒸气,Steam
行礼,salute
坠,fall
何止,More than
七次,Seven times
身不由己,No choice
弗蘭克,Frank
动手动脚,Hands and feet
新教徒,Protestants
府上,Residence
佣兵,Mercenaries
拜拉席,Baratheon
辅佐,Assist
想給,Want to give
探子,The Spy
路易斯安那,Louisiana
重庆,Chongqing
涙,涙
段子,Jokes
永濑,Nagase
我闻,I smell
简妮,Jenny
机密文件,Confidential Documents
莫琳,Maureen
大河,big river
旷野,Wilderness
吉娃娃,Chihuahua
中原,Central Plains
啧,Tsk
别谈,Don't talk
创造性,creativity
一千个,One thousand
自打,Since
布纳特,Bnut
千万美元,Ten million US dollars
深吸,Take a deep breath
局限,Limitations
惨不忍睹,Horrible
親吻,Kiss
開放,Open
上場,come on stage
泼妇,shrew
谦逊,humble
棚子,shed
二代,Second Generation
一切办法,All methods
浸泡,soak
細胞,Cells
診斷,Diagnosis
风车,windmill
瓦格纳,Wagner
标示,Marking
大呼小叫,Shouting
毙命,Killed
终老,End of life
越多越好,The more the better
海带,kelp
自如,freely
不得好死,Die a bad death
衰弱,weak
二者,both
硕士,master
雷克,Lake
火势,Fire
散会,Adjournment
该国,The country
魏伪,Wei False
拉瓦,Rava
守门员,goalkeeper
不败,Undefeated
先发制人,Preemptive strike
松子,Pine Nuts
几十万,Hundreds of thousands
优异,Excellent
拳赛,Boxing
紧要,critical
会选,Will choose
羊水,Amniotic fluid
号召,Call
劳动力,labor force
欣喜,happy
兩名,Two
现时,current
收敛,convergence
炉,furnace
先來,Come first
更少,less
爆炸物,explosive
伊特,It
来烦,Come to bother
德比,Derby
进取,Enterprising
坎特,Kante
甲子,Jiazi
独子,Only son
砲,gun
端庄,dignified
现行,in force
沒去,Didn't go
背叛者,traitor
作祟,cause trouble
死伤,Casualties
水坑,Puddle
我己,Myself
违约,Breach of Contract
闸门,Gate
淤青,Bruising
毒打,Beating
灿,Can
摇头丸,Ecstasy
永世,forever
掴,slap
背对着,Back to
龙崎,Ryuzaki
一查,Check
三分之二,Two-thirds
矿场,Mining
人间蒸发,Evaporated
车灯,Headlights
很受,Very popular
尖端,Cutting Edge
渥,O
李小姐,Ms. Li
想带,Want to bring
听命,Obey
掩藏,hide
声波,Sound Wave
著火,On Fire
琛,Chen
不解,Puzzled
路易莎,Louisa
三流,Third-rate
蓝恩,Lan
拉走,Pull away
禱告,Prayer
雙眼,Eyes
小美人,Little Beauty
萍,Ping
那批,That batch
丁哥,Dingo
真系,True
摇头,Shake your head
数个,Several
正合适,Just right
可谓,It can be said
六人,Six people
利索,neat
格特,Gert
后遗症,Sequelae
名副其实,Well-deserved
或暗,or dark
草泥马,Alpaca
全死,All dead
違反,Violation
化合物,Compound
數學,mathematics
整死,Dead
小径,trails
庸俗,vulgar
遇,Encounter
不胜,Unbeatable
危在旦夕,Danger
灭火器,Fire extinguisher
闲事,Idleness
渴死,Death by thirst
发明家,inventor
奥康纳,O'Connor
离世,Death
划掉,Cross out
古罗马,Ancient Rome
八天,Eight days
奥吉,Augie
格调,style
阿罗,Aro
自以,Since
扪心自问,Ask Yourself
没看,Didn't watch
化作,Transform
洞房,Bridal Chamber
顯得,Appear
克罗斯,Cross
洋,foreign
停工,Work stoppage
迪尔,Diehl
难耐,Unbearable
减缓,Mitigation
淌,drip
橡木,oak
欠债,Debt
满载,Fully loaded
干洗店,Dry Cleaners
消退,Receding
刚出生,Newly born
預感,Premonition
圣约翰,St. John
百分之十,10%
每一秒,Every second
红十字会,Red Cross
公会,guild
凸轮,Cam
深厚,deep
狠心,heartless
承载,Loading
蠢才,Stupid
见习,Trainee
保持平衡,Keeping Balance
总体,overall
执行命令,Execute Command
小海,Xiaohai
笑死人,LOL
邱,Qiu
美化,beautify
四面八方,in all directions
空壳,Empty Shell
赢钱,Winning Money
特遣队,Task Force
內疚,Guilt
昵,Nickname
法律顾问,Legal Advisor
企業,Enterprise
图拉,Tula
特伦斯,Terrence
吃藥,Take medicine
估价,Valuation
果园,orchard
僵局,deadlock
爆發,Outbreak
弥漫,Diffuse
婚姻生活,Married life
欧娜,Oona
偷溜,sneak
提高警惕,Be vigilant
逗你玩,Tease you
棒球队,Baseball Team
我为,I am
没落,decline
八百万,8 million
世纪末,end of the century
唯一一,the only one
歐,Europe
迈向,Towards
东山再起,Comeback
早到,Arrive Early
班纳,Banner
那具,That
況,Situation
织,Weaving
悄悄话,Private Message
惩戒,discipline
保守党,conservative party
那狗,The dog
一并,Together
先上去,Go up first
会害,Will harm
惊叹,Marvel
爬升,Climb
一男一女,One man and one woman
臭男人,Stinky man
阿黛尔,Adele
用语,term
底朝天,Upside down
分隔,Separation
记事,Notes
单亲,Single Parent
调出,Call Out
伦巴,Rumba
洛佩兹,Lopez
萦绕,linger
活死人,The Living Dead
干系,Relationship
搞坏,Break
绝食,Hunger strike
拚,Fight
落叶,Fallen Leaves
威尼,Winnie
碼,Code
剧作家,playwright
傳說,Legend
双峰,Twin Peaks
撇开,Aside
卜,predict
麻疹,measles
米卡,Mika
別吵,Stop making noise
卖身,Selling oneself
百度,Baidu
真是假,True or false
脱颖而出,stand out
赢回,Win Back
国歌,National anthem
缠绕,Entanglement
拉丁美洲,Latin America
养家糊口,Supporting a Family
库特,Cooter
回路,loop
必定会,Will definitely
臸,大
史酷比,Scooby-Doo
情结,Complex
萨莎,Sasha
历险,Adventure
杂物,Sundries
开诚布公,Be open and honest
撒野,act wildly
榨干,Squeeze
粒,grain
脊髓,spinal cord
車禍,Car Accident
幽闭,Confinement
玩球,Playing ball
巨人队,Giants
四十五,Chapter 45
影业,Film Industry
取个,Take
线人,Informer
肯斯,Kens
火气,anger
痛哭,Cry
多来,More
偶遇,Encounter
枯,Dry
新月,new moon
踢踏舞,tap dance
不利于,Not conducive to
落脚,Settle down
太惨,Too miserable
問你,Ask you
徙,Migration
總算,Finally
混入,mix in
何況,What's more
画展,Art Exhibition
武裝,Armed
麦芽,malt
重病,Serious illness
顺带,By the way
农田,farmland
發表,Publish
鸳鸯,mandarin duck
控制台,Console
訪問,Visit
音色,timbre
烦心事,Troubles
得当,appropriate
主動,initiative
砍头,Beheading
黏在,Stick to
愈发,More
山雀,tit
落花流水,Falling Flowers and Flowing Water
深處,Depths
溫度,temperature
鸡汤,chicken soup
蔣,Jiang
尽职,Diligence
捕鲸,whaling
捶,hammer
公敌,Public Enemy
没死,Not dead
自由主义,Liberalism
胡搞,mess
商船,Merchant Ships
狱友,Cellmate
麻省理工,Massachusetts Institute of Technology
奉命行事,Follow orders
绝种,Extinct
普拉提,Pilates
说不上来,Can't tell
聿,Yu
欲火焚身,Burning with desire
一摸,One touch
大牌,Big Brands
录像机,video recorder
這一個,This one
污渍,Stains
老挝,Laos
莎朗,Sharon
逞,show off
黄鼠狼,weasel
兰伯特,Lambert
两条腿,Two Legs
蔷薇,rose
推掉,Pushed away
洸,洴
念念,Read
逐漸,Gradually
撤消,Undo
浴盆,bathtub
多过,More than
闪光灯,flash
奇蒂,Chitty
我開,I open
交談,Conversation
阿勇,Ayong
仇敌,Enemies
陷于,Trapped
无偿,Free
欣喜若狂,ecstatic
浮游生物,Plankton
共产党员,Communist Party member
海平面,sea ​​level
拍照片,Take a photo
我同,I
大廳,Lobby
本职工作,Main job
壮丽,magnificent
有情,Affectionate
職員,staff
怎讲,How to say
压倒性,overwhelming
叫法,Name
优越,superior
洗脸,Wash your face
評價,Reviews
夜夜,Night after night
乔登,Jordan
癖好,Hobbies
撤掉,Remove
杂货,groceries
這了,Here it is
青铜,bronze
可真有,It's true
不写,Do not write
那话儿,That word
磨损,Wear
醇,alcohol
主治,Indications
卡萨布兰卡,Casablanca
整形,Plastic surgery
漠不关心,indifferent
桥牌,Bridge
时时刻刻,All the time
茬,Stubble
未免,Not necessarily
紋身,Tattoo
重播,Replay
动画片,cartoon
友人,friends
最让人,The most
丞相,Prime Minister
不照,No
绝世,Peerless
堆积,accumulation
二重,Double
主权,sovereignty
奥尼尔,O'Neal
显示器,monitor
全境,All Territory
应征,Apply
毫升,ml
侧翼,flank
弱點,Weaknesses
阿纳,Ana
维塔,Vita
垄断,monopoly
就职,Employment
杰瑞米,Jeremy
误以为,Mistakenly
廢物,Waste
你定,You decide
这就是说,That is to say
严格来说,Strictly speaking
二等,Second Class
乡村音乐,Country Music
毛线,Yarn
宗旨,purpose
饶舌,Rap
旧事,Old things
大姑娘,Big Girl
扶持,Support
奥利维,Oliver
共同体,community
横行,Rampant
要冲,To rush
印第安纳,Indiana
属下,Subordinates
出航,set sail
坏女孩,Bad Girl
加纳,Ghana
收拾残局,Picking up the pieces
玛格达,Magda
倒影,Reflection
我頭,My head
板块,Plate
五位,Five
憨,silly
追问,Question
罗德里格,Rodrigo
葫芦,gourd
孟加拉,Bengal
阻塞,block
大点声,Louder
请容,Please allow
半步,Half Step
匪,bandit
要员,Key Personnel
萍琪,Pinkie
露西亚,Lucia
喃喃,Murmur
上会,Meeting
脑门,Forehead
严重性,Severity
自願,Voluntary
考克,Cork
骨气,backbone
朵花,Flower
丑事,scandal
跑得快,Run fast
搬运工,porter
红线,Red Line
俄國人,Russian
来求,Come and ask
古巴人,Cubans
抗抑郁,Antidepressant
粿,Kueh
這時候,At this time
屡,repeatedly
展览会,exhibition
就是指,It means
越野车,Off-road vehicles
嘀咕,Mutter
緊緊,Tight
别喊,Don't shout
整日,All day
大富翁,Monopoly
上过,Been
断言,assertion
契机,Opportunity
別看,Don't look
蒂托,Tito
丟人,Lost
离合器,clutch
灵长类,Primates
鱼饵,Fishing Bait
打捞,salvage
六百万,6 million
运往,Shipping to
多活,Live more
这令,This makes
头像,avatar
征兵,conscription
升到,Rise to
法雷尔,Farrell
恰,just
馅,filling
寶貝兒,Baby
禁欲,Abstinence
时侯,Time
遗传基因,Genetics
别接,Don't answer
牺牲者,Victims
赴约,Keep an appointment
坑里,In the pit
奸细,spy
洗牌,Shuffle
样式,style
簙,scoop
第五集,Episode 5
第十一,eleventh
厮守,Stay Together
反攻,Counterattack
寓所,Residence
拍张,Take a photo
找钱,give change
啧啧,Tsk tsk
留到,Stay
米尔顿,Milton
吶,No
术士,Warlock
用不著,No need
觅,seek
加载,load
寡人,The Widow
花栗鼠,chipmunk
肥沃,Fertile
赛克斯,Sykes
普斯,Pus
皮草,Fur
出远门,Traveling
健在,alive
沒得,No
一元,one yuan
奇遇,Adventure
寇森,Coulson
踌,hesitate
砯,砯
八分,Eight points
饭后,After dinner
大个儿,Big
通风口,Air vents
恩情,Favor
雷管,detonator
逃之夭夭,Run away
宾夕法尼亚,Pennsylvania
困擾,Disturbance
好书,Good Books
跛脚,Lame
暴,Violence
九龙,Kowloon
反思,Reflection
爱斯基摩,Eskimo
十秒钟,Ten seconds
吉妮,Ginny
誓约,pledge
开演,Show starts
那就算了,That's fine.
聲明,Disclaimer
仔细检查,Double check
局長,Director
盗,Pirate
本场,This field
安家,settle down
经济学家,economist
布雷斯,Brace
辦到,To
托付,Entrust
家畜,livestock
手心,Palm
收音,Radio
发出声音,Make a sound
链条,Chain
奸诈,treacherous
卡马,Kama
外国佬,Gringo
老歌,Old Songs
桃乐丝,Dorothy
慈善家,philanthropist
演播室,Studio
铃兰,Lily of the Valley
有神,God
九千,Nine thousand
麦基,Mackey
销售员,Salesperson
之时,When
手来,Hands
猜谜,Guess the Riddle
全力支持,Full support
靓女,pretty girl
不假,True
達成,Achievement
斯特恩,Stern
偷运,Smuggling
劳森,Lawson
這什麼,What is this
正像,Just like
没话,No words
布兰德,Brand
大案,Big Case
卖得,Sell
人敢,People dare
大包,Big Bag
快拉,Quick pull
容量,capacity
牙签,toothpick
天一亮,As soon as daybreak
雨天,rain
某样,Something
心上,Heart
嗚,Woo
写书,Write a book
侍女,maid
布莱特,Bright
這行,This line
停車場,Parking lot
冰水,Ice water
相逢,Encounter
猶豫,Hesitation
修整,Trimming
一員,One member
邦奇,Bunch
霸道,overbearing
召见,Summon
哞,Moo
王先生,Mr. Wang
接种,Vaccination
阿豪,Ah Hao
考克斯,Cox
象牙,ivory
暗指,Alluding to
上苍,God
不可开交,Incompatibility
橡,oak
不敢肯定,Not sure
忍忍,Be patient
抵消,offset
酮,ketone
蜡笔,crayon
科莫,Como
巡游,Cruise
如常,usual
连在一起,Tie it together
垀,可
木棍,Wooden stick
听不进去,Can't listen
别当,Don't be
相好,lover
乘车,By Car
监,Supervisor
暴力行为,Violent behavior
惋惜,regret
再查,Check again
吞没,Engulf
看住,Watch
史帝,Emperor Shi
赛马场,Racecourse
拆穿,expose
以求,In order to
判官,Judge
托利,Tory
雅利安,Aryan
炮手,gunner
拾,pickup
保尔,Paul
马场,Racecourse
警备,guard
乃至,and even
小羊,lamb
生态系统,Ecosystem
阿尔巴尼亚,Albania
佐佐木,Sasaki
创办,Founded
慢吞吞,Slow
无辜者,Innocent
文盲,illiteracy
白菜,Chinese cabbage
清净,Clean
支笔,Pen
暴力犯罪,Violent Crime
久违,Long time no see
蜘蛛网,Spider Web
爱丽斯,Alice
利兰,Leland
海因里希,Heinrich
高呼,Shout
小雨,light rain
道光,Daoguang
學院,College
小乔,Little Joe
前列腺,prostate
守護,Guard
老得,Old
沉着,calm
退款,Refund
空隙,Gap
這個給,This is for
洁净,Clean
银器,silverware
再三,repeatedly
演过,Played
不向,Not
想活,Want to live
哭喊,Cry
契斯,Chase
雷纳,Reina
断层,Fault
出生证明,Birth certificate
作怪,Making trouble
化妆舞会,Masquerade
蠢人,fool
搜过,Searched
东海,East China Sea
推行,Implementation
餐车,dining car
同台,On the same stage
谢丽尔,Cheryl
帮你忙,Help you
找上门,Come to your door
夏绿蒂,Charlotte
称得上,Worthy of
节哀,My condolences
顧問,Consultant
汉姆,Ham
好使,Good
伴着,Accompanied by
團體,Group
組合,Combination
捣毁,Destroy
反应炉,Reactor
希腊神话,Greek Mythology
断头台,guillotine
减去,minus
回乡,Return to hometown
有性,sexual
获得者,Recipient
突如其来,Sudden
另有其,There is another
随处可见,Available everywhere
發覺,Discovery
私刑,Lynching
昨天下午,Yesterday afternoon
蒙住,Blindfold
斐济,Fiji
动乱,turmoil
改改,Change
跛,lame
发动战争,Waging war
過度,Excessive
片中,In the film
軗,軗
替人,Substitute
太阳神,Sun God
女星,Actress
极光,aurora
拉住,Pull
攀爬,Climbing
带动,drive
主耶稣,Lord Jesus
树根,root
晒黑,Tanning
吠,bark
马达加斯加,Madagascar
理他,Ignore him
遗址,Site
教唆,Instigate
连长,Company Commander
老规矩,Old rules
顧客,customer
恶鬼,Devil
站不起来,Can't stand up
痛扁,Beat
阿莉,Ali
衍生,derivative
找人来,Find someone
大石头,Big Stone
意料之外,Unexpected
恐怖电影,Horror Movies
掰掰,Bye
尔塔,Valta
向南,southward
逝者,The deceased
出勤,attendance
摩天大楼,Skyscraper
電,Electricity
柯尔特,Colt
湖畔,Lakeside
历桑,Lisang
农场主,farmer
协议书,Agreement
我忍,I endure
奇诺,Chino
线上,on-line
出格,Out of line
印第安纳州,Indiana
阿桑奇,Assange
温特,Winter
死囚,Death row
不胜感激,Thank you very much
平地,Flatland
围攻,Siege
赤手空拳,unarmed
月台,Platform
采矿,mining
显,Show
新意,Novelty
深表遗憾,Deeply regretful
上点,On point
佛州,Florida
马尔,Mar
三道,Three ways
点钱,Points of money
霍斯,Hawes
祸害,Scourge
我爱上,I love
话剧,Drama
拉过来,pull over
发信号,Signaling
算个,Count
名额,Quota
四分五裂,Fragmented
诗句,verse
撤離,Evacuate
岩,rock
贵国,Your country
巴瑞,Barry
吃力,Difficult
牧羊犬,Shepherd Dog
穴居人,Caveman
節奏,Rhythm
裸女,Nude
劇院,Theater
协作,cooperation
霍恩,Horn
译制,Dubbing
有错,Wrong
神来,God Comes
人質,Hostage
才智,Intelligence
太君,Taijun
偷笑,Snicker
天翻地覆,The world is turning upside down
珍视,value
大名鼎鼎,famous
连衣裙,dress
队列,queue
性变态,Sexual perversion
猥琐,Obscene
犯罪集团,Criminal Groups
短发,Short hair
复出,Comeback
泰拉,Terra
之源,Source
高墙,High Wall
数周,Weeks
孤,solitary
绊脚石,stumbling block
情欲,lust
冷藏,refrigeration
世界级,World Class
殘酷,Cruel
挖个,Dig
扇子,fan
卡米,Kami
几份,A few
這項,This
佛像,Buddha statues
問候,Greetings
犯罪分子,Criminals
马修斯,Matthews
桥下,Under the bridge
雪儿,Cher
拉图,Ratour
睪,Testis
上班族,Office Workers
档次,Grade
订好,Order
笼,cage
多萝西,Dorothy
小蝶,Fluttershy
鬼龍院,Oniryuin
托普,Top
几十个,Dozens
毒虫,poisonous insect
遇刺,Assassination
广播公司,Broadcaster
赶尽杀绝,Kill them all
可大,Can be big
阻断,Blocking
穷光蛋,pauper
调来,Transfer
不灵,Not working
回味,Aftertaste
楞,Leng
沒別,No other
李小龙,Bruce Lee
直截了当,straightforward
鲱鱼,Herring
修饰,Modification
蔓,vine
终究会,Eventually
花花,Huahua
为国,For the country
游戲,Games
生性,Nature
样貌,Appearance
尽责,Responsibility
相助,Help
猜错,Guess wrong
全权,Full Power
矫正,Correction
先付,Pay first
卫生棉,Sanitary napkins
不平,Unfair
专程,Special trip
呼吸困难,trouble breathing
豆瓣,Douban
聯合,United
少佐,Major
真烦,Really annoying
变性,transsexual
大屏幕,Big screen
莫娜,Mona
噪声,noise
特使,special envoy
醉汉,Drunk
得太多,Too much
八万,"80,000"
亲眼见到,See it with your own eyes
不分,No difference
鳕鱼,Cod
会爱上,Will fall in love
对质,Confrontation
考驗,Test
不对头,Not right
样样,Everything
束縛,Constraint
越野,Off-road
每家,Each
費用,Fees
利文,Levin
马虎,careless
波本,Bourbon
根基,Foundation
搜查证,Search Warrant
兆,mega
复发,relapse
前所未见,Unprecedented
划过,Pass
體內,In the body
定时炸弹,Time bomb
圣歌,hymn
她給,She gave
丟掉,Throw away
作秀,Show
杰罗姆,Jerome
一坨,A bunch
概括,Summary
冷得,Cold
泥泞,Muddy
身份证明,Proof of identity
蒋先生,Mr. Jiang
海地,Haiti
下马,dismount
頭兒,Boss
执意,Determined
真烂,It sucks
此时此地,Here and Now
几点钟,What time is it?
莫德,Maud
西裝,Suit
太空站,Space Station
除名,Delisting
少于,less than
